ask-f46d89d7f-4nlzw:/app# grep -r "Sync up Flocs successfully-------------------- Total Record:" logs/
logs/pms-task-2024-05-19.2-info.log:00:56:57.258 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21146 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 4697 , AreaCode: 8220 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:57:13.349 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21147 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 846 , AreaCode: 8215 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:57:45.444 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21149 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 3846 , AreaCode: 8213 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:58:08.864 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21150 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 4818 , AreaCode: 8210 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:58:25.861 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21151 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 5041 , AreaCode: 8216C ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:59:19.542 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21155 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 1560 , AreaCode: 8218 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:00:59:55.920 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21157 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 186 , AreaCode: 8209 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:01:01:23.624 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21156 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 24001 , AreaCode: 8205 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
logs/pms-task-2024-05-19.2-info.log:01:03:05.052 ,ip=                 ,s=                                 ,x=                               ,l=INFO  ,u=             ,c=SapPmServiceImpl               ,f=syncFlocByArea       ,t=kExecutor-21161 ,m=----------------------------Sync up Flocs successfully-------------------- Total Record: 2903 , AreaCode: 8321 ,cf=com.vsm.pms.task.service.impl.SapPmServiceImpl 
root@pms-task-f46d89d7f-4nlzw:/app# 
